step,x,y,u
0,4,17,1.074823474574e-08
0,5,17,5.592698982286e-08
0,6,17,2.668127461155e-07
0,7,17,1.167058233708e-06
0,8,17,4.680360520688e-06
0,9,17,1.720944695534e-05
0,10,17,5.801701052199e-05
0,11,17,1.793265552240e-04
0,12,17,5.082000357831e-04
0,13,17,1.320461073121e-03
0,14,17,3.145700277071e-03
0,15,17,6.870841095762e-03
0,16,17,1.375952034744e-02
0,17,17,2.526373232434e-02
0,18,17,4.252972297678e-02
0,19,17,6.564300028948e-02
0,20,17,9.289345540965e-02
0,21,17,1.205265261001e-01
0,22,17,1.433774944567e-01
0,23,17,1.563796225438e-01
0,24,17,1.563796225438e-01
0,25,17,1.433774944567e-01
0,26,17,1.205265261001e-01
0,27,17,9.289345540965e-02
0,28,17,6.564300028948e-02
0,29,17,4.252972297678e-02
0,30,17,2.526373232434e-02
0,31,17,1.375952034744e-02
0,32,17,6.870841095762e-03
0,33,17,3.145700277071e-03
0,34,17,1.320461073121e-03
0,35,17,5.082000357831e-04
0,36,17,1.793265552240e-04
0,37,17,5.801701052199e-05
0,38,17,1.720944695534e-05
0,39,17,4.680360520688e-06
0,40,17,1.167058233708e-06
0,41,17,2.668127461155e-07
0,42,17,5.592698982286e-08
0,43,17,1.074823474574e-08
0,44,17,1.893885275402e-09
0,45,17,3.059644848379e-10
0,46,17,4.531992631940e-11
0,47,17,0.000000000000e+00
0,0,18,0.000000000000e+00
0,1,18,7.629292010173e-11
0,2,18,5.150697693369e-10
0,3,18,3.188223144489e-09
0,4,18,1.809389999692e-08
0,5,18,9.414916820505e-08
0,6,18,4.491605608105e-07
